[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -30.00000      # minimum value of x-mesh points
     xmax =   180.0000      # maximum value of x-mesh points
#    xdel =  0.4200000      # mesh width of x-mesh points
       nx =    500          # number of x-mesh points
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -2.00000E+01  0.00000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -80.00000      # minimum value of z-mesh points
     zmax =   150.0000      # maximum value of z-mesh points
#    zdel =  0.4600000      # mesh width of z-mesh points
       nz =    500          # number of z-mesh points
     axis =   xz            # axis of output
     file = 2d_xz_BSAORNL.dat  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :        1004 (  0)      125501 (  0)      126505 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   x =   -1.0000E+01

'no. =  1,    y =   -1.0000E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.30}

x: z [cm]
y: x [cm]
set: c1[ 0.913] c2[ 0.942] c5[ 0.800] c6[ 0.969] c7[ 0.000] c8[ 0.038]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin( -80.00000    ) xmax(  150.0000    )
p: ymin( -30.00000    ) ymax(  180.0000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](4),ic[pastelblue]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(pastelblue)
frame:
 -8.0000000E+01 -3.0000000E+01
  1.5000000E+02 -3.0000000E+01
  1.5000000E+02  1.8000000E+02
 -8.0000000E+01  1.8000000E+02
clip:
 -8.045908E+01 -3.041916E+01
  1.504591E+02 -3.041916E+01
  1.504591E+02 -2.999749E+01
  1.504591E+02 -2.957581E+01
  1.504591E+02 -2.915413E+01
  1.504591E+02 -2.873246E+01
  1.504591E+02 -2.831078E+01
  1.504591E+02 -2.788910E+01
  1.504591E+02 -2.746743E+01
  1.504591E+02 -2.704575E+01
  1.504591E+02 -2.662407E+01
  1.504591E+02 -2.620240E+01
  1.504591E+02 -2.578072E+01
  1.504591E+02 -2.535904E+01
  1.504591E+02 -2.493737E+01
  1.504591E+02 -2.451569E+01
  1.504591E+02 -2.409401E+01
  1.504591E+02 -2.367234E+01
  1.504591E+02 -2.325066E+01
  1.504591E+02 -2.282898E+01
  1.504591E+02 -2.240731E+01
  1.504591E+02 -2.198563E+01
  1.504591E+02 -2.156395E+01
  1.504591E+02 -2.114228E+01
  1.504591E+02 -2.072060E+01
  1.504591E+02 -2.029892E+01
  1.504591E+02 -1.987725E+01
  1.504591E+02 -1.945557E+01
  1.504591E+02 -1.903389E+01
  1.504591E+02 -1.861222E+01
  1.504591E+02 -1.819054E+01
  1.504591E+02 -1.776886E+01
  1.504591E+02 -1.734719E+01
  1.504591E+02 -1.692551E+01
  1.504591E+02 -1.650383E+01
  1.504591E+02 -1.608216E+01
  1.504591E+02 -1.566048E+01
  1.504591E+02 -1.523880E+01
  1.504591E+02 -1.481713E+01
  1.504591E+02 -1.439545E+01
  1.504591E+02 -1.397377E+01
  1.504591E+02 -1.355210E+01
  1.504591E+02 -1.313042E+01
  1.504591E+02 -1.270874E+01
  1.504591E+02 -1.228707E+01
  1.504591E+02 -1.186539E+01
  1.504591E+02 -1.144371E+01
  1.504591E+02 -1.102204E+01
  1.504591E+02 -1.060036E+01
  1.504591E+02 -1.017868E+01
  1.504591E+02 -9.757006E+00
  1.504591E+02 -9.335329E+00
  1.504591E+02 -8.913653E+00
  1.504591E+02 -8.491976E+00
  1.504591E+02 -8.070299E+00
  1.504591E+02 -7.648623E+00
  1.504591E+02 -7.226946E+00
  1.504591E+02 -6.805269E+00
