[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -22.00000      # minimum value of x-mesh points
     xmax =   22.00000      # maximum value of x-mesh points
#    xdel =  0.1047619      # mesh width of x-mesh points
       nx =    420          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -14.00000      # minimum value of y-mesh points
     ymax =   11.00000      # maximum value of y-mesh points
#    ydel =  9.6153846E-02  # mesh width of y-mesh points
       ny =    260          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   45.00000      # minimum value of z-mesh points
     zmax =   55.00000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =     10          # number of z-mesh points
     axis =   xy            # axis of output
     file = 2_2d_xy_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         693 (  0)       54941 (  0)       55634 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   z =    4.5500E+01

'no. =  1,    z =    4.5500E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: x [cm]
y: y [cm]
set: c1[ 0.568] c2[ 1.194] c5[ 0.800] c6[ 0.820] c7[ 0.000] c8[ 0.304]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin( -22.00000    ) xmax(  22.00000    )
p: ymin( -14.00000    ) ymax(  11.00000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](Timbal),ic[orange]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(orange)
frame:
 -2.2000000E+01 -1.4000000E+01
  2.2000000E+01 -1.4000000E+01
  2.2000000E+01  1.1000000E+01
 -2.2000000E+01  1.1000000E+01
clip:
 -2.210451E+01 -1.409579E+01
  2.210451E+01 -1.409579E+01
  2.210451E+01 -1.400000E+01
  2.200045E+01 -1.400000E+01
  2.199925E+01 -1.400000E+01
  2.189519E+01 -1.400000E+01
  2.189399E+01 -1.400000E+01
  2.178994E+01 -1.400000E+01
  2.178873E+01 -1.400000E+01
  2.168468E+01 -1.400000E+01
  2.168347E+01 -1.400000E+01
  2.157942E+01 -1.400000E+01
  2.157822E+01 -1.400000E+01
  2.147416E+01 -1.400000E+01
  2.147296E+01 -1.400000E+01
  2.136890E+01 -1.400000E+01
  2.136770E+01 -1.400000E+01
  2.126364E+01 -1.400000E+01
  2.126244E+01 -1.400000E+01
  2.115838E+01 -1.400000E+01
  2.115718E+01 -1.400000E+01
  2.105312E+01 -1.400000E+01
  2.105192E+01 -1.400000E+01
  2.094786E+01 -1.400000E+01
  2.094666E+01 -1.400000E+01
  2.084260E+01 -1.400000E+01
  2.084140E+01 -1.400000E+01
  2.073734E+01 -1.400000E+01
  2.073614E+01 -1.400000E+01
  2.063208E+01 -1.400000E+01
  2.063088E+01 -1.400000E+01
  2.052682E+01 -1.400000E+01
  2.052562E+01 -1.400000E+01
  2.042156E+01 -1.400000E+01
  2.042036E+01 -1.400000E+01
  2.031630E+01 -1.400000E+01
  2.031510E+01 -1.400000E+01
  2.021104E+01 -1.400000E+01
  2.020984E+01 -1.400000E+01
  2.010578E+01 -1.400000E+01
  2.010458E+01 -1.400000E+01
  2.000052E+01 -1.400000E+01
  1.999932E+01 -1.400000E+01
  1.989526E+01 -1.400000E+01
  1.989406E+01 -1.400000E+01
  1.979000E+01 -1.400000E+01
