[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =   4.500000      # minimum value of x-mesh points
     xmax =   15.50000      # maximum value of x-mesh points
#    xdel =  2.6190476E-02  # mesh width of x-mesh points
       nx =    420          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -14.00000      # minimum value of y-mesh points
     ymax =   11.00000      # maximum value of y-mesh points
#    ydel =  9.6153846E-02  # mesh width of y-mesh points
       ny =    260          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   45.00000      # minimum value of z-mesh points
     zmax =   55.00000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =     10          # number of z-mesh points
     axis =   xy            # axis of output
     file = 2d_xy_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         693 (  0)       54941 (  0)       55634 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   z =    4.5500E+01

'no. =  1,    z =    4.5500E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: x [cm]
y: y [cm]
set: c1[ 2.273] c2[ 0.597] c5[ 0.800] c6[ 0.714] c7[ 0.848] c8[ 0.000]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin(  4.500000    ) xmax(  15.50000    )
p: ymin( -14.00000    ) ymax(  11.00000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](Timbal),ic[orange]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(orange)
frame:
  4.5000000E+00 -1.4000000E+01
  1.5500000E+01 -1.4000000E+01
  1.5500000E+01  1.1000000E+01
  4.5000000E+00  1.1000000E+01
clip:
  4.473872E+00 -1.409579E+01
  1.552613E+01 -1.409579E+01
  1.552613E+01 -1.400000E+01
  1.550011E+01 -1.400000E+01
  1.549981E+01 -1.400000E+01
  1.547380E+01 -1.400000E+01
  1.547350E+01 -1.400000E+01
  1.544748E+01 -1.400000E+01
  1.544718E+01 -1.400000E+01
  1.542117E+01 -1.400000E+01
  1.542087E+01 -1.400000E+01
  1.539485E+01 -1.400000E+01
  1.539455E+01 -1.400000E+01
  1.536854E+01 -1.400000E+01
  1.536824E+01 -1.400000E+01
  1.534222E+01 -1.400000E+01
  1.534192E+01 -1.400000E+01
  1.531591E+01 -1.400000E+01
  1.531561E+01 -1.400000E+01
  1.528959E+01 -1.400000E+01
  1.528929E+01 -1.400000E+01
  1.526328E+01 -1.400000E+01
  1.526298E+01 -1.400000E+01
  1.523696E+01 -1.400000E+01
  1.523666E+01 -1.400000E+01
  1.521065E+01 -1.400000E+01
  1.521035E+01 -1.400000E+01
  1.518433E+01 -1.400000E+01
  1.518403E+01 -1.400000E+01
  1.515802E+01 -1.400000E+01
  1.515772E+01 -1.400000E+01
  1.513171E+01 -1.400000E+01
  1.513140E+01 -1.400000E+01
  1.510539E+01 -1.400000E+01
  1.510509E+01 -1.400000E+01
  1.507908E+01 -1.400000E+01
  1.507878E+01 -1.400000E+01
  1.505276E+01 -1.400000E+01
  1.505246E+01 -1.400000E+01
  1.502645E+01 -1.400000E+01
  1.502615E+01 -1.400000E+01
  1.500013E+01 -1.400000E+01
  1.499983E+01 -1.400000E+01
  1.497382E+01 -1.400000E+01
  1.497352E+01 -1.400000E+01
  1.494750E+01 -1.400000E+01
  1.494720E+01 -1.400000E+01
