[ T-Gshow ]
    title = [t-gshow] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =   0.000000      # minimum value of x-mesh points
     xmax =   21.00000      # maximum value of x-mesh points
#    xdel =  9.5454545E-02  # mesh width of x-mesh points
       nx =    220          # number of x-mesh points
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -14.00000      # minimum value of y-mesh points
     ymax =  -8.000000      # maximum value of y-mesh points
#    ydel =  2.3076923E-02  # mesh width of y-mesh points
       ny =    260          # number of y-mesh points
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   45.00000      # minimum value of z-mesh points
     zmax =   55.00000      # maximum value of z-mesh points
#    zdel =   1.000000      # mesh width of z-mesh points
       nz =     10          # number of z-mesh points
     axis =   xy            # axis of output
     file = 2d_xy_BSAORNL.out  # file name of output for the above axis
   output =    2            # (D=2) 1:bnd, 2:bnd+mat, 3:bnd+num 4:bnd+mat+num
    ginfo =    1            # (D=0) 0:no, 1:show in graph, 2:add file
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         493 (  0)       28841 (  0)       29334 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   z =    4.5500E+01

'no. =  1,    z =    4.5500E+01'
msuc: {\huge [t-gshow] in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.31}

x: x [cm]
y: y [cm]
set: c1[ 0.286] c2[ 1.684] c5[ 0.800] c6[ 0.645] c7[ 0.000] c8[ 1.000]
p: h2fs form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
p: xmin(  0.000000    ) xmax(  21.00000    )
p: ymin( -14.00000    ) ymax( -8.000000    )

p: legs[c5*0.875]

h: x ny1,0  y2=[y1](Udara),ic[gray]
 -1.000000E+00 -1.000000E+00

hb:   line clip z   cb(gray)
frame:
  0.0000000E+00 -1.4000000E+01
  2.1000000E+01 -1.4000000E+01
  2.1000000E+01 -8.0000000E+00
  0.0000000E+00 -8.0000000E+00
clip:
 -9.502261E-02 -1.402299E+01
  2.100000E+01 -1.402299E+01
  2.100000E+01 -1.402268E+01
  2.100000E+01 -1.399973E+01
  2.100000E+01 -1.399942E+01
  2.100000E+01 -1.397648E+01
  2.100000E+01 -1.397617E+01
  2.100000E+01 -1.395323E+01
  2.100000E+01 -1.395291E+01
  2.100000E+01 -1.392997E+01
  2.100000E+01 -1.392966E+01
  2.100000E+01 -1.390672E+01
  2.100000E+01 -1.390641E+01
  2.100000E+01 -1.388347E+01
  2.100000E+01 -1.388315E+01
  2.100000E+01 -1.386021E+01
  2.100000E+01 -1.385990E+01
  2.100000E+01 -1.383696E+01
  2.100000E+01 -1.383665E+01
  2.100000E+01 -1.381370E+01
  2.100000E+01 -1.381339E+01
  2.100000E+01 -1.379045E+01
  2.100000E+01 -1.379014E+01
  2.100000E+01 -1.376720E+01
  2.100000E+01 -1.376688E+01
  2.100000E+01 -1.374394E+01
  2.100000E+01 -1.374363E+01
  2.100000E+01 -1.372069E+01
  2.100000E+01 -1.372038E+01
  2.100000E+01 -1.369744E+01
  2.100000E+01 -1.369712E+01
  2.100000E+01 -1.367418E+01
  2.100000E+01 -1.367387E+01
  2.100000E+01 -1.365093E+01
  2.100000E+01 -1.365062E+01
  2.100000E+01 -1.362767E+01
  2.100000E+01 -1.362736E+01
  2.100000E+01 -1.360442E+01
  2.100000E+01 -1.360411E+01
  2.100000E+01 -1.358117E+01
  2.100000E+01 -1.358085E+01
  2.100000E+01 -1.355791E+01
  2.100000E+01 -1.355760E+01
  2.100000E+01 -1.353466E+01
  2.100000E+01 -1.353435E+01
  2.100000E+01 -1.351141E+01
  2.100000E+01 -1.351109E+01
  2.100000E+01 -1.348815E+01
  2.100000E+01 -1.348784E+01
  2.100000E+01 -1.346490E+01
  2.100000E+01 -1.346459E+01
  2.100000E+01 -1.344164E+01
  2.100000E+01 -1.344133E+01
  2.100000E+01 -1.341839E+01
  2.100000E+01 -1.341808E+01
  2.100000E+01 -1.339514E+01
  2.100000E+01 -1.339482E+01
  2.100000E+01 -1.337188E+01
  2.100000E+01 -1.337157E+01
  2.100000E+01 -1.334863E+01
  2.100000E+01 -1.334832E+01
  2.100000E+01 -1.332538E+01
  2.100000E+01 -1.332506E+01
  2.100000E+01 -1.330212E+01
  2.100000E+01 -1.330181E+01
  2.100000E+01 -1.327887E+01
  2.100000E+01 -1.327856E+01
  2.100000E+01 -1.325561E+01
  2.100000E+01 -1.325530E+01
  2.100000E+01 -1.323236E+01
  2.100000E+01 -1.323205E+01
  2.100000E+01 -1.320911E+01
  2.100000E+01 -1.320879E+01
  2.100000E+01 -1.318585E+01
  2.100000E+01 -1.318554E+01
  2.100000E+01 -1.316260E+01
  2.100000E+01 -1.316229E+01
  2.100000E+01 -1.313935E+01
  2.100000E+01 -1.313903E+01
  2.100000E+01 -1.311609E+01
  2.100000E+01 -1.311578E+01
  2.100000E+01 -1.309284E+01
  2.100000E+01 -1.309253E+01
  2.100000E+01 -1.306958E+01
  2.100000E+01 -1.306927E+01
  2.100000E+01 -1.304633E+01
  2.100000E+01 -1.304602E+01
  2.100000E+01 -1.302308E+01
  2.100000E+01 -1.302276E+01
  2.100000E+01 -1.299982E+01
  2.100000E+01 -1.299951E+01
  2.100000E+01 -1.297657E+01
  2.100000E+01 -1.297626E+01
  2.100000E+01 -1.295332E+01
  2.100000E+01 -1.295300E+01
  2.100000E+01 -1.293006E+01
  2.100000E+01 -1.292975E+01
  2.100000E+01 -1.290681E+01
  2.100000E+01 -1.290650E+01
  2.100000E+01 -1.288355E+01
  2.100000E+01 -1.288324E+01
  2.100000E+01 -1.286030E+01
  2.100000E+01 -1.285999E+01
  2.100000E+01 -1.283705E+01
  2.100000E+01 -1.283673E+01
  2.100000E+01 -1.281379E+01
  2.100000E+01 -1.281348E+01
  2.100000E+01 -1.279054E+01
  2.100000E+01 -1.279023E+01
  2.100000E+01 -1.276729E+01
  2.100000E+01 -1.276697E+01
